"calendar_day","calendar_year","calendar_month_of_year","calendar_day_of_month","calendar_day_of_week","calendar_week","calendar_day_of_year","calendar_qtr","reporting_year","reporting_week_of_year","reporting_week_offset","reporting_year_offset","iso_reporting_week_of_year"
"1996-01-03 00:00:00.000","1996","1","3","4","1","3","1","1996","1",,,"1.00000000"
"1998-03-10 00:00:00.000","1998","3","10","3","10","69","1","1998","11",,,"11.00000000"
"1999-07-08 00:00:00.000","1999","7","8","5","27","189","3","1999","27",,,"27.00000000"
"1999-10-13 00:00:00.000","1999","10","13","4","41","286","4","1999","41",,,"41.00000000"
"2000-06-04 00:00:00.000","2000","6","4","1","23","156","2","2000","23",,,"22.00000000"
"2000-08-22 00:00:00.000","2000","8","22","3","34","235","3","2000","34",,,"34.00000000"
"2001-02-10 00:00:00.000","2001","2","10","7","6","41","1","2001","6",,,"6.00000000"
"2001-05-27 00:00:00.000","2001","5","27","1","21","147","2","2001","22",,,"21.00000000"
"2001-05-29 00:00:00.000","2001","5","29","3","22","149","2","2001","22",,,"22.00000000"
"2001-11-13 00:00:00.000","2001","11","13","3","46","317","4","2001","46",,,"46.00000000"
